取得日時,取得URL,名称,住所,TEL,設立,資本金,年商,部署,従業員,事業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/freelaatms03,株式会社アルバイトタイムス,東京都中央区京橋2-6-13 京橋ヨツギビル5F,,1973年10月29日,"4億5,599万円",,パートナーサポート部 セールスサポート課,190名（連結）,無料求人情報誌DOMO（ドーモ）の編集発行 求人情報サイトDOMO NET（ドーモネット）の運営 求人情報サイトJOB（ジョブ）の運営 採用管理システム（ATS）ワガシャdeDOMOの運営 人材紹介業Achieve Career（アチーヴ キャリア） 有料職業紹介（13-ユｰ304061）
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/imobisp,アイ・モバイル株式会社,東京都渋谷区神宮前3-42-2 VORT外苑前Ⅲビル3階,,2007年8月,1億円（2020年4月現在）,,,100名（2020年4月1日現在）,情報提供サービス業 情報システムの企画、設計ならびに管理運営に関する業務 コンピューターのソフトウェアの設計、開発、販売及び保守 広告代理業 通信販売業 提携先：株式会社TKC、キャノンシステムアンドサポート株式会社、ソフトバンク株式会社、株式会社ブロードリーフ、デジタル・インフォメーション・テクノロジー株式会社、他
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/kuchikomission,株式会社Giv-ning（ギブニング）,東京都新宿区四谷坂町10-12 ガーデンタワー37 8F,,2022年7月,,,パートナー事業部,,高評価クチコミ獲得支援ツール 「クチコミッション」運営 SaaSツールの開発、提供 代理販売・実店舗サービスへの経営支援
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/cosmosbdairiten,株式会社コスモネット,京都市中京区烏丸通四条上る笋町689番地 京都御幸ビル6階 東京都港区新橋2-6-2 新橋アイマークビル10階,,1991年5月1日（創業1979年）,"5億6,600万円","899億3,700万円（2024年3月期グループ計）",法人営業管理グループ,"2,226名（2024年3月現在）",ICTサービスプロバイダー（ショップ394店舗：2024年3月現在） 企業向けソリューション 情報通信システム
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/kiranmiyabi,KIRAN株式会社,東京都新宿区高田馬場1丁目32-10,,2022年9月,,,代理店事業部,,5デアザフラビンを使用した健康食品の開発・販売 医療インバウンド 医療AI事業 健康食品のOEM
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/smartpagewebcms,アイ・モバイル株式会社,東京都渋谷区神宮前3-42-2 VORT外苑前Ⅲビル3階,,2007年8月,1億円（2020年4月現在）,,,100名（2020年4月1日現在）,情報提供サービス業 情報システムの企画、設計ならびに管理運営に関する業務 コンピューターのソフトウェアの設計、開発、販売及び保守 広告代理業 通信販売業 提携先：株式会社TKC、キャノンシステムアンドサポート株式会社、ソフトバンク株式会社、株式会社ブロードリーフ、デジタル・インフォメーション・テクノロジー株式会社、他
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/mxmobiauhikari,MXモバイリング株式会社,東京都江東区豊洲3-2-24 豊洲フォレシア 大阪市中央区久太郎町4-1-3 大阪センタービル7階,,1972年12月15日,10億円,"1,334億円（2023年3月期）",法人事業本部 法人ソリューション事業部 ネットワーク営業部（パートナー営業グループ）関西支店,"4,258名（2024年4月1日現在）",携帯電話の販売代理店（ショップ運営） 携帯電話関連商品等の販売 法人向け携帯端末・ソリューションの提供 光回線サービス事業、その他取次事業 銀行代理業、保険代理業
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/speedhpsp,アイ・モバイル株式会社,東京都渋谷区神宮前3-42-2 VORT外苑前Ⅲビル3階,,2007年8月,1億円（2020年4月現在）,,,100名（2020年4月1日現在）,情報提供サービス業 情報システムの企画、設計ならびに管理運営に関する業務 コンピューターのソフトウェアの設計、開発、販売及び保守 広告代理業 通信販売業 提携先：株式会社TKC、キャノンシステムアンドサポート株式会社、ソフトバンク株式会社、株式会社ブロードリーフ、デジタル・インフォメーション・テクノロジー株式会社、他
2025/11/05 11:37:35,https://bahn-rep.com/muryoukeisaiandend/kuchikomi1kibosyu,株式会社Giv-ning（ギブニング）,東京都新宿区四谷坂町10-12 ガーデンタワー37 8F,,2022年7月,,,パートナー事業部,,高評価クチコミ獲得支援ツール 「クチコミッション」運営 SaaSツールの開発、提供 代理販売・実店舗サービスへの経営支援
2025/11/05 11:37:35,https://bahn-rep.com/dairiten-bosyu/usign,株式会社USEN （USEN-NEXT GROUP）,東京都品川区上大崎3-1-1 目黒セントラルスクエア,,2017年6月16日,"9,641万円（グループ資本金）","1,932億円（2020年8月期連結）",,"4,845名（2020年8月期連結）",IoT PLATFORM事業 音楽配信事業 エネルギー事業 保険事業 開業、増移転支援サービス 店舗運用支援サービス 店舗通販サービス
